tissue_name_gtex,tissue_name_ldexpress,tissue_abbrev_ldexpress
Adipose - Subcutaneous,Adipose_Subcutaneous,ADI_SUB
Adipose - Visceral (Omentum),Adipose_Visceral_Omentum,ADI_VIS_OME
Adrenal Gland,Adrenal_Gland,ADR_GLA
Artery - Aorta,Artery_Aorta,ART_AOR
Artery - Coronary,Artery_Coronary,ART_COR
Artery - Tibial,Artery_Tibial,ART_TIB
Bladder,Bladder,BLA
Brain - Amygdala,Brain_Amygdala,BRA_AMY
Brain - Anterior cingulate cortex (BA24),Brain_Anterior_cingulate_cortex_BA24,BRA_ANT_CIN_COR_BA2
Brain - Caudate (basal ganglia),Brain_Caudate_basal_ganglia,BRA_CAU_BAS_GAN
Brain - Cerebellar Hemisphere,Brain_Cerebellar_Hemisphere,BRA_CER_HEM
Brain - Cerebellum,Brain_Cerebellum,BRA_CER
Brain - Cortex,Brain_Cortex,BRA_COR
Brain - Frontal Cortex (BA9),Brain_Frontal_Cortex_BA9,BRA_FRO_COR_BA9
Brain - Hippocampus,Brain_Hippocampus,BRA_HIP
Brain - Hypothalamus,Brain_Hypothalamus,BRA_HYP
Brain - Nucleus accumbens (basal ganglia),Brain_Nucleus_accumbens_basal_ganglia,BRA_NUC_ACC_BAS_GAN
Brain - Putamen (basal ganglia),Brain_Putamen_basal_ganglia,BRA_PUT_BAS_GAN
Brain - Spinal cord (cervical c-1),Brain_Spinal_cord_cervical_c-1,BRA_SPI_COR_CER_C-1
Brain - Substantia nigra,Brain_Substantia_nigra,BRA_SUB_NIG
Breast - Mammary Tissue,Breast_Mammary_Tissue,BRE_MAM_MAM_TIS
Cells - Cultured fibroblasts,Cells_Cultured_fibroblasts,CEL_CUL_FIB
Cells - EBV-transformed lymphocytes,Cells_EBV_transformed_lymphocytes,CEL_EBV_TRA_LYN
Cervix - Ectocervix,Cervix_Ectocervix,CER_ECT
Cervix - Endocervix,Cervix_Endocervix,CER_END
Colon - Sigmoid,Colon_Sigmoid,COL_SIG
Colon - Transverse,Colon_Transverse,COL_TRA
Esophagus - Gastroesophageal Junction,Esophagus_Gastroesophageal_Junction,ESO_GAS_JUN
Esophagus - Mucosa,Esophagus_Mucosa,ESO_MUC
Esophagus - Muscularis,Esophagus_Muscularis,ESO_MUS
Fallopian Tube,Fallopian_Tube,FAL_TUB
Heart - Atrial Appendage,Heart_Atrial_Appendage,HEA_ATR
Heart - Left Ventricle,Heart_Left_Ventricle,HEA_LEF
Kidney - Cortex,Kidney_Cortex,KID_COR
Kidney - Medulla,Kidney_Medulla,KID_MED
Liver,Liver,LIV
Lung,Lung,LUN
Minor Salivary Gland,Minor_Salivary_Gland,MIN_SAL_GLA
Muscle - Skeletal,Muscle_Skeletal,MUS_SKE
Nerve - Tibial,Nerve_Tibial,NER_TIB
Ovary,Ovary,OVA
Pancreas,Pancreas,PAN
Pituitary,Pituitary,PIT
Prostate,Prostate,PRO
Skin - Not Sun Exposed (Suprapubic),Skin_Not_Sun_Exposed_Suprapubic,SKI_NOT_SUN_EXP_SUP
Skin - Sun Exposed (Lower leg),Skin_Sun_Exposed_Lower_leg,SKI_SUN_EXP_LOW_LEG
Small Intestine - Terminal Ileum,Small_Intestine_Terminal_Ileum,SMA_INT_TER_ILE
Spleen,Spleen,SPL
Stomach,Stomach,STO
Testis,Testis,TES
Thyroid,Thyroid,THY
Uterus,Uterus,UTE
Vagina,Vagina,VAG
Whole Blood,Whole_Blood,WHO_BLO
Select All Tissues,ALL,ALL

